Year,PCOD_BIO,BENPRED_BIO,BENINVERT_BIO,RACE_CP,ROMS_CP,RACE_SUM_BT,ROMS_SUM_BT,ROMS_SPR_BT,RKC_REC_BIO,PDO,WIND_STRESS,CHL_A,ROMS_OA,PCOD_OVLP,MALE_LW_RESID,SOCK_ABUN,CATCH_DISTSHORE,RKC_MIEW,MATMALE_D95,MATFEM_D95,AO
1980,NA,NA,NA,NA,0.127397799,NA,4.47086612,0.610638154,33352.25471,0.38,NA,NA,NA,NA,NA,NA,NA,NA,16441,10827,-1.477666667
1981,NA,NA,NA,NA,0.135142766,NA,4.544856495,1.97370696,23114.23108,0.93,NA,NA,NA,NA,NA,NA,NA,NA,12030,9223,-0.697666667
1982,354,560.24,790.4536179,30075,0.18698003,1.795454545,2.950804553,1.017140363,22853.7047,0.136,NA,NA,NA,58.6,NA,NA,NA,NA,18045,16441,0.388333333
1983,443,718.13,667.523828,6416,0.22544876,3.511851852,3.991576322,1.374905561,12919.99254,0.532,NA,NA,NA,59.6,NA,NA,NA,NA,20451,14837,-0.338
1984,358,651.35,878.2264116,16040,0.447985706,2.97751938,2.410449703,1.064728455,19071.78103,1.424,NA,NA,NA,44.9,NA,NA,NA,NA,13634,5614,-0.594666667
1985,322,552.57,563.36545,9624,0.476758286,3.073109244,2.30513277,1.864366881,13543.15742,0.406,NA,NA,NA,45.9,NA,NA,NA,NA,17243,10827,-1.231666667
1986,376,700.97,632.8110593,22456,0.455555353,2.16484375,2.482699697,1.017417128,20889.4743,0.774,NA,NA,NA,43.7,NA,NA,NA,NA,10827,10025,-0.513666667
1987,392,749.74,1184.28768,0,0.179382971,3.693939394,4.526422648,2.027556959,17245.91282,1.534,NA,NA,NA,53.3,NA,NA,NA,NA,16842,9223,-1.455666667
1988,394,775.9803697,1223.807528,15639,0.298415367,2.702272727,2.904884476,1.285635639,10135.55529,0.612,5.34,NA,NA,48.9,NA,NA,NA,NA,17644,7218,-0.332666667
1989,277,623.69,1065.710836,14035,0.099740851,2.734108527,3.645418665,0.877334013,11098.75652,-0.826,5.47,NA,NA,41,NA,NA,NA,NA,17243,10426,2.638333333
1990,202,545.71,1190.031754,3208,0.252608814,2.905208333,3.650862156,0.767445563,10741.50566,-0.76,4.29,NA,NA,43.7,NA,NA,NA,NA,16842,8421,2.464333333
1991,226,703.8,1235.32531,4411,0.321346729,3.274193548,3.31388113,0.329809772,9356.171908,-1.62,5.56,NA,NA,40,NA,NA,NA,NA,10426,7619,-0.226666667
1992,264,728.83,1049.790539,15639,0.541847644,2.306666667,1.996791183,0.460832582,6850.61406,0.144,5.52,NA,NA,40.3,NA,NA,NA,NA,14035,8822,0.885333333
1993,350,875.7,1276.416891,8421,0.127313225,3.359016393,4.519134759,0.934534343,12658.68524,0.324,5.49,NA,NA,36.8,NA,NA,NA,NA,13233,8822,1.481
1994,500,1101.28,1286.820613,17243,0.344522699,2.471755725,3.774022366,1.56397793,8169.888667,0.65,5.06,NA,NA,33.1,NA,NA,NA,NA,12030,9223,0.243666667
1995,455,957.27,1165.840998,24461,0.502078645,1.953383459,2.343219148,0.80176985,7501.289585,-0.906,4.93,NA,NA,36,NA,NA,NA,NA,11228,8822,0.556
1996,435,1036.65,1240.359435,4812,0.235577029,3.779230769,3.455687991,0.766033123,4707.076873,0.672,6.88,NA,NA,36,NA,NA,NA,NA,14035,7619,-0.84
1997,208,835.46,1906.107876,15639,0.515340926,2.847407407,2.04884715,0.359272461,11860.91843,0.294,4.25,NA,NA,42.6,NA,NA,NA,NA,14035,8421,0.841
1998,245,774.73,1252.744997,0,0.159159374,3.835384615,3.854962533,0.46791321,21632.63505,1.266,5.19,NA,NA,42.6,NA,NA,NA,NA,14837,8822,-0.839333333
